top - 17:49:06 up  2:22,  1 user,  load average: 1,03, 0,33, 0,10
Tareas: 412 total,   1 ejecutar,  411 hibernar,    0 detener,    0 zombie
%Cpu(s):  4,0 us,  1,3 sy,  0,0 ni, 94,0 id,  0,7 wa,  0,0 hi,  0,0 si,  0,0 st 
MiB Mem :  31453,3 total,  22974,8 libre,   5227,1 usado,   3744,6 búf/caché    
MiB Intercambio:   2048,0 total,   2048,0 libre,      0,0 usado.  26226,1 dispon

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM     HORA+ ORDEN
 107281 dam       20   0   17228   5760   3584 R   9,1   0,0   0:00.02 top
   2044 root      20   0   88856  15280  12160 S   0,0   0,0   0:00.00 wb[A108+
   2093 cups-br+  20   0  268660  20224  17280 S   0,0   0,1   0:00.05 cups-br+
   2094 root      20   0 4500028  83216  55424 S   0,0   0,3   0:02.13 dockerd
   2105 root      20   0   12040   2560   2432 S   0,0   0,0   0:00.01 cron
   2108 root      20   0    3008   2308   2176 S   0,0   0,0   0:00.00 rpc.idm+
   2123 statd     20   0    4560   1796   1536 S   0,0   0,0   0:00.00 rpc.sta+
   2126 root      20   0   43212   1820   1152 S   0,0   0,0   0:00.00 rpc.mou+
   2162 kernoops  20   0   12744   2184   1792 S   0,0   0,0   0:00.21 kernelo+
   2166 root      20   0  380088   6980   6340 S   0,0   0,0   0:00.03 lightdm
   2167 kernoops  20   0   12744   2208   1792 S   0,0   0,0   0:00.22 kernelo+
   2172 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
   2180 root      20   0       0      0      0 I   0,0   0,0   0:00.00 lockd
   2194 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
   2195 root      20   0       0      0      0 S   0,0   0,0   0:00.00 iprt-VB+
   2220 root      20   0 1282144 140188  81348 S   0,0   0,4   1:18.01 Xorg
   2223 root      20   0   11320   1920   1792 S   0,0   0,0   0:00.00 agetty
   2229 root      20   0       0      0      0 I   0,0   0,0   0:00.00 nfsd
   2230 root      20   0       0      0      0 I   0,0   0,0   0:00.00 nfsd
   2231 root      20   0       0      0      0 I   0,0   0,0   0:00.00 nfsd
   2232 root      20   0       0      0      0 I   0,0   0,0   0:00.00 nfsd
   2233 root      20   0       0      0      0 I   0,0   0,0   0:00.00 nfsd
   2234 root      20   0       0      0      0 I   0,0   0,0   0:00.00 nfsd
   2235 root      20   0       0      0      0 I   0,0   0,0   0:00.00 nfsd
   2236 root      20   0       0      0      0 I   0,0   0,0   0:00.00 nfsd
   2299 root      20   0  228104  26388  19840 S   0,0   0,1   0:00.26 apache2
   2312 www-data  20   0  228752  12620   6016 S   0,0   0,0   0:00.00 apache2
   2313 www-data  20   0  228752  12620   6016 S   0,0   0,0   0:00.00 apache2
   2314 www-data  20   0  228752  12620   6016 S   0,0   0,0   0:00.00 apache2
   2315 www-data  20   0  228752  12620   6016 S   0,0   0,0   0:00.00 apache2
   2317 www-data  20   0  228752  12620   6016 S   0,0   0,0   0:00.00 apache2
   2360 libvirt+  20   0   11484   2092   1664 S   0,0   0,0   0:00.00 dnsmasq
   2361 root      20   0   11484   1068    640 S   0,0   0,0   0:00.00 dnsmasq
   2453 rtkit     21   1   22940   3328   3072 S   0,0   0,0   0:00.09 rtkit-d+
   2531 root      20   0  320168   9728   7552 S   0,0   0,0   0:00.07 upowerd
   2767 root      20   0  236748   9116   7936 S   0,0   0,0   0:00.05 lightdm
   3351 root      20   0 1238424  14208  10496 S   0,0   0,0   0:00.55 contain+
   3373 root      20   0  223476  29256  23096 S   0,0   0,1   0:00.36 apache2
   3448 root      20   0 1745340   4224   3328 S   0,0   0,0   0:00.00 docker-+
   3454 root      20   0 1745340   4096   3328 S   0,0   0,0   0:00.00 docker-+
   3488 www-data  20   0  223508   8704   2304 S   0,0   0,0   0:00.00 apache2
   3489 www-data  20   0  223508   8704   2304 S   0,0   0,0   0:00.00 apache2
   3490 www-data  20   0  223508   8704   2304 S   0,0   0,0   0:00.00 apache2
   3491 www-data  20   0  223508   8704   2304 S   0,0   0,0   0:00.00 apache2
   3492 www-data  20   0  223508   8704   2304 S   0,0   0,0   0:00.00 apache2
   3525 dam       20   0   20632  11648   9344 S   0,0   0,0   0:00.51 systemd
   3526 dam       20   0   23244   3732   1792 S   0,0   0,0   0:00.00 (sd-pam)
   3539 dam        9 -11  117276  12820   8508 S   0,0   0,0   0:00.10 pipewire
   3540 dam       20   0  100352   5760   5120 S   0,0   0,0   0:00.00 pipewire
   3542 dam       20   0   41208  25720  11392 S   0,0   0,1   0:00.38 powerli+
   3543 dam        9 -11  570536  32980  24984 S   0,0   0,1   0:00.19 wireplu+
   3544 dam        9 -11  114088  12416   9380 S   0,0   0,0   0:00.04 pipewir+
   3545 dam       20   0  319488  10368   9472 S   0,0   0,0   0:00.06 gnome-k+
   3548 dam       20   0   10640   5504   4480 S   0,0   0,0   0:00.34 dbus-da+
   3573 dam       20   0  477960  14592  12544 S   0,0   0,0   0:00.19 cinnamo+
   3782 dam       20   0  453212  24688  19072 S   0,0   0,1   0:00.11 csd-aut+
   3783 dam       20   0  304212   6016   5632 S   0,0   0,0   0:00.00 csd-set+
   3784 dam       20   0  528072  26176  20480 S   0,0   0,1   0:00.19 csd-pow+
   3786 dam       20   0  379304  24684  19200 S   0,0   0,1   0:00.31 csd-hou+
   3787 dam       20   0  379760  25228  19072 S   0,0   0,1   0:00.13 csd-wac+
   3788 dam       20   0  541436  27440  21564 S   0,0   0,1   0:00.16 csd-col+
   3789 dam       20   0  446320  34216  28416 S   0,0   0,1   0:00.53 csd-bac+
   3790 dam       20   0  383104   7936   7424 S   0,0   0,0   0:00.00 at-spi-+
   3794 dam       20   0  303796   5248   4992 S   0,0   0,0   0:00.00 csd-scr+
   3795 dam       20   0  381736  27504  21352 S   0,0   0,1   0:00.26 csd-xse+
   3801 dam       20   0  379080  25784  20224 S   0,0   0,1   0:00.82 csd-key+
   3802 dam       20   0    9556   4864   4480 S   0,0   0,0   0:00.19 dbus-da+
   3806 dam       20   0  671044  27548  21504 S   0,0   0,1   0:00.15 csd-med+
   3807 dam       20   0  305092  24316  18816 S   0,0   0,1   0:00.11 csd-cli+
   3808 dam       20   0  318044  10752   9472 S   0,0   0,0   0:00.01 csd-pri+
   3809 dam       20   0  305208   6272   5888 S   0,0   0,0   0:00.00 csd-a11+
   3814 dam       20   0  230372   5888   5376 S   0,0   0,0   0:00.02 dconf-s+
   3857 dam       20   0  317236   8064   7424 S   0,0   0,0   0:00.03 gvfsd
   3866 dam       20   0  462632   7040   6528 S   0,0   0,0   0:00.00 gvfsd-f+
   3879 dam       20   0  419012  15104  13184 S   0,0   0,0   0:00.01 csd-pri+
   3887 dam       20   0  236164   7936   7296 S   0,0   0,0   0:00.83 at-spi2+
   3908 dam       20   0  392320  10496   9088 S   0,0   0,0   0:00.03 gvfs-ud+
   3917 dam       20   0  313636   7168   6400 S   0,0   0,0   0:00.01 gvfs-gp+
   3922 dam       20   0  312548   6272   5888 S   0,0   0,0   0:00.00 gvfs-go+
   3927 dam       20   0  549744  24064  20608 S   0,0   0,1   0:00.02 goa-dae+
   3935 dam       20   0  392064   9344   8448 S   0,0   0,0   0:00.02 goa-ide+
   3941 dam       20   0  312668   6656   6016 S   0,0   0,0   0:00.01 gvfs-mt+
   3947 dam       20   0  392152   7936   7168 S   0,0   0,0   0:00.19 gvfs-af+
   3954 dam       20   0  545316  40828  26752 S   0,0   0,1   0:00.47 cinnamo+
   3958 dam       20   0 5475508 257116 129120 S   0,0   0,8   1:48.48 cinnamon
   3991 dam       20   0  379080  25088  19456 S   0,0   0,1   0:00.11 xapp-sn+
   4014 dam       20   0  313040   6400   6016 S   0,0   0,0   0:00.00 agent
   4028 dam       20   0 1187444  68516  46848 S   0,0   0,2   0:00.66 nemo-de+
   4037 dam       20   0  824168  63332  50904 S   0,0   0,2   0:00.19 evoluti+
   4038 dam       20   0  395672  38524  26624 S   0,0   0,1   0:00.15 cinnamo+
   4039 dam       20   0  557072  54704  34116 S   0,0   0,2   0:00.37 blueman+
   4135 dam       20   0   49072   8192   7552 S   0,0   0,0   0:00.00 obexd
   4138 dam       20   0 1275712  42880  34944 S   0,0   0,1   0:00.06 evoluti+
   4149 dam       20   0 1172444  24064  21120 S   0,0   0,1   0:00.05 evoluti+
   4164 dam       20   0  762996  29952  26240 S   0,0   0,1   0:00.03 evoluti+
   4193 dam       20   0  538676   8704   7936 S   0,0   0,0   0:00.02 gvfsd-t+
